Date,SP,N225,SSE,HS,Eur,VIX,T5,T10,T30
12/14/1999,-0.008514526,-0.002171333,0.003638316,-0.009695178,0.003182126,0.0616943,0.01872226,0.01872226,0.017606236
12/15/1999,0.007240685,-0.001496867,0.020245249,-0.028090588,-0.009123063,-0.044666037,0.006287286,0.006287286,0.004444425
12/16/1999,0.003856193,-0.00149125,-0.011157428,-0.01604703,0.004589351,-0.005447155,0.008490864,0.008490864,0.008849519
12/17/1999,0.00158587,-0.000893994,-0.010674103,0.026650803,0.00814984,-0.025559081,-0.001270834,-0.001270834,-0.001096486
12/21/1999,0.010817429,-0.005232837,-0.016944849,0.002242149,-0.003500805,-0.047098436,0.002839061,0.002839061,0.003422501
12/22/1999,0.00188356,0.02110292,-0.005723365,-0.003467336,0.010176752,-0.010150024,0.002831099,0.002831099,0.001550423
12/28/1999,0.000384365,0.012757881,0.002578503,0.005644163,0.003909465,-0.00433465,0.005011682,0.005011682,0.00309837
12/29/1999,0.00397893,0.001440654,0.006008937,-0.015800105,0.005452003,0.005224242,-0.004830865,-0.004830865,-0.005405382
12/30/1999,0.000690152,0.006579264,0.007114559,0.018083101,0.013676297,0.072325685,-0.002818685,-0.002818685,-0.002173904
1/4/2000,-0.038344668,0.003618797,0.029117225,-0.017087902,-0.039688607,0.11565474,-0.009621217,-0.009621217,-0.010003029
1/5/2000,0.001922183,-0.024223123,0.002354311,-0.071815937,-0.024703672,-0.022214009,0.017579004,0.017579004,0.015156151
1/6/2000,0.000955678,-0.020184993,0.038490957,-0.043762322,-0.004325207,-0.025747834,-0.007576935,-0.007576935,-0.008897604
1/7/2000,0.027090399,0.001383766,0.035972728,0.016656476,0.021407708,-0.155849215,-0.006871217,-0.006871217,-0.005325601
1/11/2000,-0.013062512,0.036139996,-0.042282406,0.00088018,-0.006732592,0.036388805,0.016163456,0.016163456,0.013201804
1/12/2000,-0.004386371,-0.009203795,-0.028221058,-0.009324075,-2.75E-05,0.015111118,0.00480193,0.00480193,0.003594454
1/13/2000,0.012169701,0.008345325,-0.009442152,-0.005106225,0.005262794,-0.049474652,-0.011648756,-0.011648756,-0.009252391
1/14/2000,0.0106713,0.006544885,-0.01094744,-0.005867323,0.024120874,-0.0944265,0.008461734,0.008461734,0.007380669
1/18/2000,-0.006832072,-0.012381402,-0.00467925,0.013781489,-0.021025501,0.093591056,0.011087857,0.011087857,0.008074148
1/19/2000,0.000522293,-0.015566339,0.009884147,-0.032545053,-0.004670109,0.010232526,-0.003408453,-0.003408453,-0.003856426
1/20/2000,-0.007095321,0.005834545,0.018142988,-0.003929881,-0.002564166,0.001381247,0.00342011,0.00342011,0.001637903
1/21/2000,-0.002912319,-0.006835009,-0.001212162,-0.00702578,-0.002762306,-0.042758635,0.004890337,0.004890337,-0.002675803
1/24/2000,-0.027633594,0.00946182,0.008367455,0.003914353,0.004991381,0.156099906,-0.014304693,-0.014304693,-0.009241358
1/25/2000,0.0060648,-0.008457999,-0.000567243,-0.004253143,-0.017110163,-0.043622736,0,0,-0.001955771
1/26/2000,-0.004212721,0.01141329,0.003122887,0.021497638,0.011383214,0.000434415,-0.000598472,-0.000598472,-0.007235433
1/27/2000,-0.003938428,0.005155684,0.017318028,0.031766836,0.013121771,0.022145038,0.00074852,0.00074852,-0.009262051
1/28/2000,-0.027456829,0.01171587,0.018735465,0.016844708,-0.001842499,0.110450228,-0.005534806,-0.005534806,-0.014406109
2/14/2000,0.002032951,-0.00779089,0.090518776,-0.011009006,-0.005951572,-0.001638039,-0.012384803,-0.012384803,-0.012076944
2/15/2000,0.008712684,-0.00964545,-0.001955233,-0.029135024,-0.020678447,-0.059885116,0.001988073,0.001988073,0.004342923
2/16/2000,-0.010256413,0.011945045,0.013431117,0.021286377,0.012981437,0.025741717,-0.000763143,-0.000763143,0.003363214
2/17/2000,0.000425148,0.009807589,-0.030984397,-0.003647171,0.010182966,-0.014461937,0.003360293,0.003360293,-0.008459693
2/18/2000,-0.030376186,-0.000119804,0.016726243,-0.022499566,-0.003131997,0.122140695,-0.01309179,-0.01309179,-0.010302661
2/22/2000,0.004516844,-0.007837284,-0.026737272,-0.004117061,-0.007263408,-0.005384592,-0.021749159,-0.021749159,-0.01301235
2/23/2000,0.006300907,0.006651204,-0.022890419,0.007481935,0.01404132,-0.076179473,0.013402718,0.013402718,0.011041594
2/24/2000,-0.005335446,0.002658292,0.024690052,0.041636372,0.002095544,0.020510665,-0.012603058,-0.012603058,-0.001467042
2/25/2000,-0.01482904,0.01259189,-0.001672211,0.008342995,0.020038668,0.033634193,-0.000787916,-0.000787916,0.004407436
2/28/2000,0.011017327,-0.004933991,0.044912973,-0.012588876,-0.00993924,-0.020634938,0.011512372,0.011512372,0.005850846
2/29/2000,0.013627087,0.012140908,0.005703138,0.010892323,0.011795234,-0.053079394,-0.000779563,-0.000779563,-0.009048349
3/1/2000,0.009345514,0.006119906,-0.005670796,-0.018978465,0.013004816,-0.074026589,-0.004680876,-0.004680876,0.002934963
3/2/2000,0.001863462,-0.00082466,0.004785778,0.005534491,0.020330952,-0.026802215,0.002664951,0.002664951,-0.001138021
3/3/2000,0.019837044,-0.006856195,0.014598221,0.020572332,0.008997935,-0.087844275,-0.003908708,-0.003908708,-0.004394523
3/6/2000,-0.012695426,-0.006583324,-0.032759118,0.027394443,0.007278219,0.119208799,0.005964544,0.005964544,0.00441392
3/7/2000,-0.025631098,0.007470601,0.00815724,0.006002649,-0.007102355,0.13069765,-0.004056799,-0.004056799,0.000650994
3/8/2000,0.00817335,-0.008896777,0.018429917,0.004817721,-0.010605507,-0.020156305,-0.001253313,-0.001253313,0.001951868
3/9/2000,0.025601808,-0.00528516,0.003657513,-0.017513947,0.00183251,-0.067590287,-0.005333321,-0.005333321,-0.001948066
3/10/2000,-0.004722867,0.004479139,-0.015757244,0.011046649,0.007968386,-0.043673992,0.007254377,0.007254377,0.006668895
3/13/2000,-0.008207439,-0.028377688,0.013980838,-0.041228437,-0.023368031,0.075800406,-0.003914216,-0.003914216,-0.004362571
3/14/2000,-0.017685471,-0.002505994,-0.025183785,-0.009798366,0.001807316,0.06827131,-0.01005975,-0.01005975,-0.009087996
3/15/2000,0.024272516,-0.00330377,-0.002299882,-0.010748374,-0.020860385,-0.084801299,-0.003493146,-0.003493146,-0.00556828
3/16/2000,0.047646038,0.009153233,-0.043975764,-0.023179949,0.013026831,-0.070277515,-0.006054829,-0.006054829,-0.005434781
3/17/2000,0.0041139,0.016261678,0.031771768,0.044256387,0.008606961,0.077034201,-0.008015344,-0.008015344,-0.00629245
3/21/2000,0.025565854,0.001841893,0.006518135,-0.00200067,-0.004605091,-0.054877978,-0.005509629,-0.005509629,-0.003673987
3/22/2000,0.004531867,0.006694626,0.005918218,0.020177848,0.00194658,-0.009677465,-0.002770115,-0.002770115,0.000335209
3/23/2000,0.017799046,-0.001469081,0.015574404,0.009605097,-0.005878906,0.035830641,-0.008169888,-0.008169888,-0.010723882
3/24/2000,7.20E-05,0.012864025,-0.009581932,0.003894325,0.021218237,0.047169777,0.017133379,0.017133379,0.013550204
3/27/2000,-0.002356838,0.016181377,0.026243827,0.02858034,2.49E-05,0.052338106,0.003401423,0.003401423,0.0003342
3/28/2000,-0.010584965,0.004600878,0.00874316,0.000482706,0.002957483,0.013452911,-0.004035528,-0.004035528,0.000334089
3/29/2000,0.000523992,0.016310249,-0.001470343,-0.011218654,-0.001238973,-0.030571207,-0.003403551,-0.003403551,-0.004342021
3/30/2000,-0.013655752,-0.012805084,0.012397649,-0.034770442,-0.028283615,0.056846428,-0.013660775,-0.013660775,-0.014927835
3/31/2000,0.007164304,-0.00509648,-0.005940987,-0.003470018,0.006229899,-0.053396103,-0.006925028,-0.006925028,-0.004597301
4/3/2000,0.004931345,0.019160338,0.000432211,-0.029506691,-0.018041146,-0.003318122,-0.006143069,-0.006143069,-0.003592266
4/5/2000,-0.004923956,-0.006417121,0.005967516,-0.034007675,-0.025377609,0.047566334,0.007019327,0.007019327,0.010109829
4/6/2000,0.009392398,-0.011687575,0.021421657,0.010598451,0.028157462,-0.044350589,0.005610335,0.005610335,-0.000690282
4/7/2000,0.009997742,0.001443915,0.005944813,0.027304493,0.013499989,-0.101657468,-0.01115807,-0.01115807,-0.014332535
